;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;TIPO DE ESCOLA;LOCALIZAÇÃO DA ESCOLA;mun;NO_MUNICIPIO_PROVA;IDIOMA;STATUS DA REDAÇÃO;RENDA;INTERNET;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS;PRESENCA
0;18 anos;M;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;2604106;Caruaru;Inglês;Sem problemas;0.5;Sim;554.2;649.5;524.7;456.4;120.0;120.0;120.0;140.0;140.0;640.0;564.96;4
1;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2602605;Brejo da Madre de Deus;Inglês;Sem problemas;0.5;Sim;405.2699674482625;482.7248911283181;453.8;421.4;80.0;120.0;80.0;140.0;120.0;540.0;283.04;2
2;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2612208;Salgueiro;Espanhol;Sem problemas;1.5;Sim;410.5;606.0;498.3;459.2;120.0;120.0;120.0;120.0;20.0;500.0;494.8;4
3;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2604106;Caruaru;Espanhol;Sem problemas;3.0;Sim;400.9;472.0;480.8;458.0;120.0;120.0;120.0;120.0;100.0;580.0;478.34;4
4;Entre 31 e 35 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Espanhol;Sem problemas;1.5;Sim;552.0;446.9;595.1;541.9;120.0;120.0;120.0;120.0;60.0;540.0;535.1800000000001;4
5;25 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;1.0;Sim;421.2;483.0;548.1;465.9;120.0;120.0;100.0;120.0;140.0;600.0;503.64;4
6;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2606804;Igarassu;Inglês;Sem problemas;1.0;Sim;420.4;521.3;528.2;528.6;100.0;120.0;120.0;120.0;120.0;580.0;515.7;4
7;19 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2609709;Orobó;Espanhol;Sem problemas;0.5;Sim;394.1;444.4;386.2;323.7;140.0;180.0;180.0;160.0;200.0;860.0;481.68;4
8;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Cópia Texto Motivador;0.5;Sim;468.9;573.7;392.7;481.4;0.0;0.0;0.0;0.0;0.0;0.0;383.34000000000003;4
9;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2609600;Olinda;Inglês;Sem problemas;0.5;Sim;535.4;563.9;561.0;513.4;120.0;160.0;120.0;120.0;180.0;700.0;574.74;4
