;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;IDIOMA;RENDA;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS
0;1;1;5;0;1;1;554.2;649.5;524.7;456.4;120.0;120.0;120.0;140.0;140.0;640.0;564.96
1;1;1;1;0;1;1;405.2699674482625;482.7248911283181;453.8;421.4;80.0;120.0;80.0;140.0;120.0;540.0;283.04
2;1;0;4;0;0;3;410.5;606.0;498.3;459.2;120.0;120.0;120.0;120.0;20.0;500.0;494.8
3;2;0;4;1;0;6;400.9;472.0;480.8;458.0;120.0;120.0;120.0;120.0;100.0;580.0;478.34
4;10;0;1;1;0;3;552.0;446.9;595.1;541.9;120.0;120.0;120.0;120.0;60.0;540.0;535.1800000000001
5;8;0;1;1;0;2;421.2;483.0;548.1;465.9;120.0;120.0;100.0;120.0;140.0;600.0;503.64
6;0;0;1;0;1;2;420.4;521.3;528.2;528.6;100.0;120.0;120.0;120.0;120.0;580.0;515.7
7;2;1;4;1;0;1;394.1;444.4;386.2;323.7;140.0;180.0;180.0;160.0;200.0;860.0;481.68
8;1;1;1;0;1;1;468.9;573.7;392.7;481.4;0.0;0.0;0.0;0.0;0.0;0.0;383.34
9;0;1;4;0;1;1;535.4;563.9;561.0;513.4;120.0;160.0;120.0;120.0;180.0;700.0;574.74
10;8;1;4;1;0;3;618.2;704.3;655.2;531.3;160.0;200.0;180.0;180.0;200.0;920.0;685.8
11;0;0;4;0;1;2;432.9;460.7;467.0;480.7;100.0;180.0;120.0;140.0;120.0;660.0;500.2600000000001
12;5;0;4;1;0;1;438.6;495.2;369.4;489.2;100.0;120.0;100.0;120.0;160.0;600.0;478.48
13;9;0;4;1;0;1;425.4;374.0;426.9;392.3;140.0;160.0;120.0;140.0;140.0;700.0;463.72
14;0;0;3;0;0;1;429.6;468.3;434.0;358.4;120.0;100.0;120.0;120.0;140.0;600.0;458.06000000000006
15;2;0;4;1;0;4;577.8;712.0;641.7;576.6;160.0;200.0;180.0;180.0;200.0;920.0;685.62
16;2;1;4;1;1;0;448.8;393.5;482.7;478.0;120.0;120.0;80.0;100.0;120.0;540.0;468.6
17;9;0;5;1;1;6;539.5;698.1;684.8;667.6;180.0;200.0;180.0;180.0;140.0;880.0;694.0
18;13;1;5;1;0;3;613.9;738.7;684.0;660.1;160.0;200.0;160.0;160.0;200.0;880.0;715.3399999999999
19;13;1;1;1;1;1;405.0;557.7;438.4;370.4;120.0;120.0;120.0;120.0;140.0;620.0;478.3
20;4;0;1;1;0;1;627.9;735.9;648.5;575.1;160.0;200.0;200.0;200.0;200.0;960.0;709.48
21;1;1;1;0;1;8;363.5;565.2;413.2;504.7;100.0;200.0;100.0;120.0;120.0;640.0;497.3200000000001
22;1;0;4;0;1;6;498.4;539.0;585.7;545.3;160.0;180.0;160.0;200.0;200.0;900.0;613.6800000000001
23;1;1;1;1;1;1;446.9;446.0;494.7;522.6;120.0;160.0;120.0;160.0;140.0;700.0;522.04
24;3;0;4;1;1;0;360.0;435.0;460.9;392.6;100.0;120.0;120.0;120.0;80.0;540.0;437.7
25;3;0;4;1;0;1;426.5;401.7;527.7;501.8;140.0;200.0;160.0;180.0;160.0;840.0;539.54
26;2;0;1;1;0;0;411.6;459.4;452.3;412.2;160.0;160.0;120.0;160.0;140.0;740.0;495.1
27;3;0;4;1;1;2;482.3;418.1;449.7;569.2;140.0;120.0;120.0;120.0;120.0;620.0;507.86
28;3;0;1;1;0;1;403.8;438.2;489.7;444.4;120.0;120.0;120.0;120.0;160.0;640.0;483.2200000000001
29;1;1;1;0;1;5;554.9;574.6;520.4;463.3;120.0;200.0;100.0;140.0;160.0;720.0;566.64
30;4;0;4;1;1;1;474.9;489.3;417.9;492.0;120.0;120.0;100.0;120.0;140.0;600.0;494.82
31;1;1;1;0;0;2;458.3;532.3;504.3;404.9;60.0;120.0;60.0;80.0;60.0;380.0;455.96
32;9;1;4;1;0;2;432.8;435.9;388.1;395.2;100.0;120.0;100.0;120.0;120.0;560.0;442.4
33;2;0;4;1;0;6;576.7;511.5;601.8;517.8;120.0;140.0;120.0;120.0;160.0;660.0;573.5600000000001
34;11;1;1;1;1;6;535.2;561.8;553.4;522.3;120.0;100.0;120.0;120.0;0.0;460.0;526.54
35;1;0;4;0;1;3;450.9;594.0;455.4;393.6;120.0;160.0;160.0;200.0;140.0;780.0;534.78
36;1;1;4;1;0;1;495.4;379.7;436.3;515.3;120.0;120.0;100.0;80.0;80.0;500.0;465.34
37;4;1;4;1;0;1;376.32543311194985;492.8090008333992;397.7;446.8;80.0;120.0;80.0;80.0;140.0;500.0;268.9
38;3;1;4;1;0;1;465.3;573.0;541.3;492.6;120.0;160.0;120.0;140.0;120.0;660.0;546.4399999999999
39;2;1;4;1;0;3;419.2;459.5;380.5;410.0;120.0;120.0;120.0;120.0;120.0;600.0;453.84
40;1;0;2;1;1;4;591.3;716.6;675.9;600.6;160.0;200.0;180.0;200.0;180.0;920.0;700.88
41;9;1;4;1;1;1;455.0;394.4;548.3;434.2;60.0;120.0;100.0;120.0;100.0;500.0;466.38
42;10;0;4;1;0;1;452.1;517.4;483.2;516.0;100.0;160.0;140.0;140.0;140.0;680.0;529.74
43;13;0;4;1;0;2;474.5;395.3;399.3;381.5;80.0;120.0;120.0;120.0;100.0;540.0;438.12
44;3;0;5;1;0;1;586.9304365361833;659.6055629375572;641.7;596.1;160.0;200.0;160.0;160.0;180.0;860.0;419.56000000000006
45;2;0;1;1;1;0;441.0;602.2;545.7;492.7;120.0;200.0;120.0;120.0;160.0;720.0;560.32
46;1;1;4;0;1;2;549.7;510.9;476.7;483.5;100.0;140.0;120.0;120.0;120.0;600.0;524.1600000000001
47;0;1;4;0;0;8;377.4;399.8;443.1;439.7;100.0;120.0;100.0;120.0;80.0;520.0;436.0
48;9;1;5;1;0;3;502.5;649.8;580.7;565.6;100.0;120.0;120.0;120.0;40.0;500.0;559.72
49;0;1;4;0;1;1;402.7;406.6;438.2;397.4;120.0;120.0;80.0;80.0;120.0;520.0;432.98
50;10;0;4;1;0;0;395.9;429.5;478.4;448.0;120.0;120.0;100.0;80.0;140.0;560.0;462.36
51;5;1;1;1;0;1;393.56903368829006;422.7822981387542;427.9;377.7;80.0;120.0;80.0;80.0;100.0;460.0;253.12
52;1;0;4;0;0;1;368.1;386.9;417.2;400.2;120.0;120.0;80.0;100.0;0.0;420.0;398.48
53;1;1;4;0;1;3;441.4;532.1;380.7;325.8;80.0;120.0;100.0;100.0;100.0;500.0;436.0
54;1;0;4;1;0;1;461.4;521.6;519.1;511.8;140.0;120.0;120.0;120.0;140.0;640.0;530.78
55;12;1;4;1;1;2;393.7;519.3;405.9;358.9;80.0;40.0;40.0;80.0;40.0;280.0;391.56
56;8;0;4;1;0;0;581.8;536.9;579.9;521.0;80.0;120.0;100.0;120.0;100.0;520.0;547.92
57;2;0;4;0;0;1;567.6;414.1;413.1;484.1;100.0;120.0;100.0;80.0;80.0;480.0;471.78
58;2;0;0;1;1;1;568.6;672.0;620.9;585.1;120.0;140.0;120.0;160.0;100.0;640.0;617.3199999999999
59;2;0;4;0;0;1;418.3;537.5;541.3;370.3;100.0;120.0;80.0;100.0;120.0;520.0;477.48
60;2;1;4;1;1;2;351.7;434.0;493.9;502.1;120.0;140.0;120.0;120.0;140.0;640.0;484.34
61;0;0;1;0;1;15;668.4;711.7;673.4;668.6;160.0;200.0;160.0;160.0;200.0;880.0;720.4200000000001
62;1;1;1;0;0;1;457.6;515.5;439.9;496.3;120.0;120.0;120.0;100.0;140.0;600.0;501.86
63;2;0;1;1;1;2;516.7;593.8;571.6;543.0;160.0;180.0;160.0;160.0;180.0;840.0;613.0200000000001
64;9;1;1;1;1;2;599.8;699.9;752.5;612.5;140.0;120.0;120.0;120.0;80.0;580.0;648.9399999999999
65;0;1;1;0;1;2;384.4;470.8;349.0;496.9;140.0;120.0;120.0;120.0;100.0;600.0;460.22
66;2;0;4;1;1;1;346.8;554.6;411.0;471.3;140.0;120.0;120.0;180.0;140.0;700.0;496.74
67;0;0;4;0;0;4;480.7;631.7;584.3;549.2;140.0;120.0;140.0;160.0;160.0;720.0;593.1800000000001
68;9;0;4;1;1;2;513.5;458.9;555.3;564.6;120.0;160.0;120.0;120.0;140.0;660.0;550.46
