NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO
554.2;524.7;456.4;649.5;120.0;120.0;120.0;140.0;140.0;640.0
405.2699674482625;453.8;421.4;482.7248911283181;80.0;120.0;80.0;140.0;120.0;540.0
410.5;498.3;459.2;606.0;120.0;120.0;120.0;120.0;20.0;500.0
400.9;480.8;458.0;472.0;120.0;120.0;120.0;120.0;100.0;580.0
552.0;595.1;541.9;446.9;120.0;120.0;120.0;120.0;60.0;540.0
421.2;548.1;465.9;483.0;120.0;120.0;100.0;120.0;140.0;600.0
420.4;528.2;528.6;521.3;100.0;120.0;120.0;120.0;120.0;580.0
394.1;386.2;323.7;444.4;140.0;180.0;180.0;160.0;200.0;860.0
468.9;392.7;481.4;573.7;0.0;0.0;0.0;0.0;0.0;0.0
535.4;561.0;513.4;563.9;120.0;160.0;120.0;120.0;180.0;700.0
618.2;655.2;531.3;704.3;160.0;200.0;180.0;180.0;200.0;920.0
432.9;467.0;480.7;460.7;100.0;180.0;120.0;140.0;120.0;660.0
438.6;369.4;489.2;495.2;100.0;120.0;100.0;120.0;160.0;600.0
425.4;426.9;392.3;374.0;140.0;160.0;120.0;140.0;140.0;700.0
429.6;434.0;358.4;468.3;120.0;100.0;120.0;120.0;140.0;600.0
577.8;641.7;576.6;712.0;160.0;200.0;180.0;180.0;200.0;920.0
448.8;482.7;478.0;393.5;120.0;120.0;80.0;100.0;120.0;540.0
539.5;684.8;667.6;698.1;180.0;200.0;180.0;180.0;140.0;880.0
613.9;684.0;660.1;738.7;160.0;200.0;160.0;160.0;200.0;880.0
405.0;438.4;370.4;557.7;120.0;120.0;120.0;120.0;140.0;620.0
627.9;648.5;575.1;735.9;160.0;200.0;200.0;200.0;200.0;960.0
363.5;413.2;504.7;565.2;100.0;200.0;100.0;120.0;120.0;640.0
498.4;585.7;545.3;539.0;160.0;180.0;160.0;200.0;200.0;900.0
446.9;494.7;522.6;446.0;120.0;160.0;120.0;160.0;140.0;700.0
360.0;460.9;392.6;435.0;100.0;120.0;120.0;120.0;80.0;540.0
426.5;527.7;501.8;401.7;140.0;200.0;160.0;180.0;160.0;840.0
411.6;452.3;412.2;459.4;160.0;160.0;120.0;160.0;140.0;740.0
482.3;449.7;569.2;418.1;140.0;120.0;120.0;120.0;120.0;620.0
403.8;489.7;444.4;438.2;120.0;120.0;120.0;120.0;160.0;640.0
554.9;520.4;463.3;574.6;120.0;200.0;100.0;140.0;160.0;720.0
474.9;417.9;492.0;489.3;120.0;120.0;100.0;120.0;140.0;600.0
458.3;504.3;404.9;532.3;60.0;120.0;60.0;80.0;60.0;380.0
432.8;388.1;395.2;435.9;100.0;120.0;100.0;120.0;120.0;560.0
576.7;601.8;517.8;511.5;120.0;140.0;120.0;120.0;160.0;660.0
535.2;553.4;522.3;561.8;120.0;100.0;120.0;120.0;0.0;460.0
450.9;455.4;393.6;594.0;120.0;160.0;160.0;200.0;140.0;780.0
495.4;436.3;515.3;379.7;120.0;120.0;100.0;80.0;80.0;500.0
