NU_INSCRICAO;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;TIPO DE ESCOLA;LOCALIZAÇÃO DA ESCOLA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;IDIOMA;STATUS DA REDAÇÃO;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;RENDA;INTERNET;PRESENCA;NOTAS
210051567969;18 anos;M;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;Caruaru;1;1;1;1;554.2;524.7;456.4;649.5;Inglês;Sem problemas;120.0;120.0;120.0;140.0;140.0;640.0;Até R$ 998,00;Sim;4;2824.8
210054292437;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Não Consta;Brejo da Madre de Deus;0;1;1;0;;453.8;421.4;;Inglês;Sem problemas;80.0;120.0;80.0;140.0;120.0;540.0;Até R$ 998,00;Sim;2;1415.2
210051340033;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;Salgueiro;1;1;1;1;410.5;498.3;459.2;606.0;Espanhol;Sem problemas;120.0;120.0;120.0;120.0;20.0;500.0;De R$ 1.497,01 até R$ 1.996,00;Sim;4;2474.0
210051891394;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Caruaru;1;1;1;1;400.9;480.8;458.0;472.0;Espanhol;Sem problemas;120.0;120.0;120.0;120.0;100.0;580.0;De R$ 2.994,01 até R$ 3.992,00;Sim;4;2391.7
210053720446;Entre 31 e 35 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;Jaboatão dos Guararapes;1;1;1;1;552.0;595.1;541.9;446.9;Espanhol;Sem problemas;120.0;120.0;120.0;120.0;60.0;540.0;De R$ 1.497,01 até R$ 1.996,00;Sim;4;2675.9
210052750813;25 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;Recife;1;1;1;1;421.2;548.1;465.9;483.0;Espanhol;Sem problemas;120.0;120.0;100.0;120.0;140.0;600.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2518.2
210051783527;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Não Consta;Igarassu;1;1;1;1;420.4;528.2;528.6;521.3;Inglês;Sem problemas;100.0;120.0;120.0;120.0;120.0;580.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2578.5
210051687335;19 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Orobó;1;1;1;1;394.1;386.2;323.7;444.4;Espanhol;Sem problemas;140.0;180.0;180.0;160.0;200.0;860.0;Até R$ 998,00;Sim;4;2408.4
210051697396;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;Recife;1;1;1;1;468.9;392.7;481.4;573.7;Inglês;Cópia Texto Motivador;0.0;0.0;0.0;0.0;0.0;0.0;Até R$ 998,00;Sim;4;1916.7
210052329714;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;Olinda;1;1;1;1;535.4;561.0;513.4;563.9;Inglês;Sem problemas;120.0;160.0;120.0;120.0;180.0;700.0;Até R$ 998,00;Sim;4;2873.7000000000003
210052707986;25 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Paulista;1;1;1;1;618.2;655.2;531.3;704.3;Espanhol;Sem problemas;160.0;200.0;180.0;180.0;200.0;920.0;De R$ 1.497,01 até R$ 1.996,00;Sim;4;3429.0
210052275803;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;Floresta;1;1;1;1;432.9;467.0;480.7;460.7;Inglês;Sem problemas;100.0;180.0;120.0;140.0;120.0;660.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2501.3
210053044798;22 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Lagoa de Itaenga;1;1;1;1;438.6;369.4;489.2;495.2;Espanhol;Sem problemas;100.0;120.0;100.0;120.0;160.0;600.0;Até R$ 998,00;Sim;4;2392.4
210053377627;Entre 26 e 30 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Bonito;1;1;1;1;425.4;426.9;392.3;374.0;Espanhol;Sem problemas;140.0;160.0;120.0;140.0;140.0;700.0;Até R$ 998,00;Sim;4;2318.6
210053876879;17 anos;F;Não declarado;Estou cursando e concluirei o EM em 2021;Público;Urbana;Brejo da Madre de Deus;1;1;1;1;429.6;434.0;358.4;468.3;Espanhol;Sem problemas;120.0;100.0;120.0;120.0;140.0;600.0;Até R$ 998,00;Sim;4;2290.3
210052679644;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Paulista;1;1;1;1;577.8;641.7;576.6;712.0;Espanhol;Sem problemas;160.0;200.0;180.0;180.0;200.0;920.0;De R$ 1.996,01 até R$ 2.495,00;Sim;4;3428.1
210052201349;19 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Recife;1;1;1;1;448.8;482.7;478.0;393.5;Inglês;Sem problemas;120.0;120.0;80.0;100.0;120.0;540.0;Nenhuma renda;Sim;4;2343.0
210051360827;Entre 26 e 30 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;Triunfo;1;1;1;1;539.5;684.8;667.6;698.1;Inglês;Sem problemas;180.0;200.0;180.0;180.0;140.0;880.0;De R$ 2.994,01 até R$ 3.992,00;Sim;4;3470.0
210054452739;Entre 46 e 50 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;Caruaru;1;1;1;1;613.9;684.0;660.1;738.7;Espanhol;Sem problemas;160.0;200.0;160.0;160.0;200.0;880.0;De R$ 1.497,01 até R$ 1.996,00;Sim;4;3576.7
210054449308;Entre 46 e 50 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;Caruaru;1;1;1;1;405.0;438.4;370.4;557.7;Inglês;Sem problemas;120.0;120.0;120.0;120.0;140.0;620.0;Até R$ 998,00;Sim;4;2391.5
210052468269;21 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;Jaboatão dos Guararapes;1;1;1;1;627.9;648.5;575.1;735.9;Espanhol;Sem problemas;160.0;200.0;200.0;200.0;200.0;960.0;Até R$ 998,00;Sim;4;3547.4
210051518035;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;Goiana;1;1;1;1;363.5;413.2;504.7;565.2;Inglês;Sem problemas;100.0;200.0;100.0;120.0;120.0;640.0;De R$ 4.990,01 até R$ 5.988,00;Sim;4;2486.6000000000004
210051166956;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;Macaparana;1;1;1;1;498.4;585.7;545.3;539.0;Inglês;Sem problemas;160.0;180.0;160.0;200.0;200.0;900.0;De R$ 2.994,01 até R$ 3.992,00;Sim;4;3068.3999999999996
210052043228;18 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;Recife;1;1;1;1;446.9;494.7;522.6;446.0;Inglês;Sem problemas;120.0;160.0;120.0;160.0;140.0;700.0;Até R$ 998,00;Sim;4;2610.2
210051721360;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Cabrobó;1;1;1;1;360.0;460.9;392.6;435.0;Inglês;Sem problemas;100.0;120.0;120.0;120.0;80.0;540.0;Nenhuma renda;Sim;4;2188.5
210051538733;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Serra Talhada;1;1;1;1;426.5;527.7;501.8;401.7;Espanhol;Sem problemas;140.0;200.0;160.0;180.0;160.0;840.0;Até R$ 998,00;Sim;4;2697.7
210051279732;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;Floresta;1;1;1;1;411.6;452.3;412.2;459.4;Espanhol;Sem problemas;160.0;160.0;120.0;160.0;140.0;740.0;Nenhuma renda;Não;4;2475.5
210051043217;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Caruaru;1;1;1;1;482.3;449.7;569.2;418.1;Inglês;Sem problemas;140.0;120.0;120.0;120.0;120.0;620.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2539.3
210052898844;20 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;São Caitano;1;1;1;1;403.8;489.7;444.4;438.2;Espanhol;Sem problemas;120.0;120.0;120.0;120.0;160.0;640.0;Até R$ 998,00;Sim;4;2416.1000000000004
210053850160;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;Carpina;1;1;1;1;554.9;520.4;463.3;574.6;Inglês;Sem problemas;120.0;200.0;100.0;140.0;160.0;720.0;De R$ 2.495,01 até R$ 2.994,00;Sim;4;2833.2
210054258177;21 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Lajedo;1;1;1;1;474.9;417.9;492.0;489.3;Inglês;Sem problemas;120.0;120.0;100.0;120.0;140.0;600.0;Até R$ 998,00;Sim;4;2474.1
210052729029;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;Limoeiro;1;1;1;1;458.3;504.3;404.9;532.3;Espanhol;Sem problemas;60.0;120.0;60.0;80.0;60.0;380.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2279.8
210052052544;Entre 26 e 30 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Recife;1;1;1;1;432.8;388.1;395.2;435.9;Espanhol;Sem problemas;100.0;120.0;100.0;120.0;120.0;560.0;De R$ 998,01 até R$ 1.497,00;Sim;4;2212.0
210053848369;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;Petrolina;1;1;1;1;576.7;601.8;517.8;511.5;Espanhol;Sem problemas;120.0;140.0;120.0;120.0;160.0;660.0;De R$ 2.994,01 até R$ 3.992,00;Sim;4;2867.8
210054102625;Entre 36 e 40 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;Goiana;1;1;1;1;535.2;553.4;522.3;561.8;Inglês;Sem problemas;120.0;100.0;120.0;120.0;0.0;460.0;De R$ 2.994,01 até R$ 3.992,00;Sim;4;2632.7
210051508785;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Privada;Não Consta;Olinda;1;1;1;1;450.9;455.4;393.6;594.0;Inglês;Sem problemas;120.0;160.0;160.0;200.0;140.0;780.0;De R$ 1.497,01 até R$ 1.996,00;Sim;4;2673.9
210051993046;18 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;Vitória de Santo Antão;1;1;1;1;495.4;436.3;515.3;379.7;Espanhol;Sem problemas;120.0;120.0;100.0;80.0;80.0;500.0;Até R$ 998,00;Sim;4;2326.7
